"Rank","Name","Symbol","marketcap","price (INR)","country"
"407","Suprajit Engineering","SUPRAJIT.NS","69357051904","505.4","India"
"408","SPARC","SPARC.NS","69181595648","213.18","India"
"409","Gokaldas Exports","GOKEX.NS","66563059712","932.15","India"
"410","Gabriel India","GABRIEL.NS","65846108160","458.35","India"
"411","Greenlam Industries","GREENLAM.NS","64954302464","509.15","India"
"412","Gulf Oil Lubricants","GULFOILLUB.NS","64772390912","1313.45","India"
"413","Gujarat Alkalies and Chemicals","GUJALKALI.NS","64279314432","875.3","India"
"414","Jindal Worldwide","JINDWORLD.NS","63011975168","313.9","India"
"415","South Indian Bank","SOUTHBANK.NS","62530383872","23.86","India"
"416","Lux Industries","LUXIND.NS","62343143424","2073.15","India"
"417","Orient Cement","ORIENTCEM.NS","60600356864","295.75","India"
"418","Prince Pipes And Fittings","PRINCEPIPE.NS","60576354304","546.95","India"
"419","EaseMyTrip","EASEMYTRIP.NS","60603822080","34.19","India"
"420","Allcargo Logistics","ALLCARGO.NS","60392058880","61.4","India"
"421","Borosil","BORORENEW.NS","60299198464","461.9","India"
"422","Skipper Limited","SKIPPER.NS","60153425920","548.1","India"
"423","National Fertilizers","NFL.NS","59761876992","121.76","India"
"424","Sterlite Technologies","STLTECH.NS","58851794944","120.66","India"
"425","PTC India","PTC.NS","58426060800","197.38","India"
"426","Rain Industries","RAIN.NS","58243919872","172.98","India"
"427","India Tourism Development Corp","ITDC.NS","56562507776","658.1","India"
"428","Anup Engineering","ANUP.NS","54709837824","2735.15","India"
"429","CSB Bank","CSBBANK.NS","52028043264","307.3","India"
"430","Wonderla Holidays","WONDERLA.NS","51088519168","903.05","India"
"431","Heidelbergcement India","HEIDELBERG.NS","50849689600","224.39","India"
"432","Orient Electric","ORIENTELEC.NS","50452525056","236.46","India"
"433","VRL Logistics","VRLLOG.NS","50324996096","575.35","India"
"434","Vaibhav Global","VAIBHAVGBL.NS","49869414400","300.65","India"
"435","Greenpanel Industries","GREENPANEL.NS","48928276480","398.9","India"
"436","Sequent Scientific","SEQUENT.NS","48461950976","192.72","India"
"437","MSTC Limited","MSTCLTD.NS","48318750720","686.15","India"
"438","Kaveri Seed","KSCL.NS","47877771264","935.65","India"
"439","Paisalo Digital","PAISALO.NS","47129309184","52.39","India"
"440","Greenply","GREENPLY.NS","46937026560","378.5","India"
"441","Aarti Drugs","AARTIDRUGS.NS","46538571776","509.9","India"
"442","RPG Life Sciences","RPGLIFE.NS","46423318528","2806.9","India"
"443","India Glycols","INDIAGLYCO.NS","45571678208","1470.5","India"
"444","Prime Focus","PFOCUS.NS","45380513792","150.84","India"
"445","The Tinplate Company Of India","TINPLATE.NS","45095735296","430.5","India"
"446","JTEKT India","JTEKTINDIA.NS","44738023424","175.94","India"
"447","Subros","SUBROS.NS","44395839488","680","India"
"448","Gateway Distriparks","GATEWAY.NS","43863748608","87.79","India"
"449","Quick Heal","QUICKHEAL.NS","43746734080","811.7","India"
"450","Imagicaaworld Entertainment","IMAGICAA.NS","43136053248","79.54","India"
"451","Honda Siel Power Products","HONDAPOWER.NS","42158485504","4154.2","India"
"452","Jain Irrigation Systems","JISLDVREQS.NS","42065547264","33.92","India"
"453","Hikal","HIKAL.NS","41940701184","340","India"
"454","Avalon Technologies","AVALON.NS","41381056512","626.55","India"
"455","Kewal Kiran Clothing","KKCL.NS","41231347712","666.25","India"
"456","Kingfa Science & Technology","KINGFA.NS","40665423872","3333.45","India"
"457","SpiceJet","SPICEJET.BO","40392507392","67.29","India"
"458","West Coast Paper Mills","WSTCSTPAPR.NS","40372391936","611.25","India"
"459","Vst Tillers Tractors","VSTTILLERS.NS","38986309632","4512.55","India"
"460","Spandana Sphoorty Financial","SPANDANA.NS","38421278720","538.15","India"
"461","Indian Metals &amp; Ferro Alloys","IMFA.NS","38132060160","706.75","India"
"462","Cigniti Technologies","CIGNITITEC.NS","38000439296","1390.45","India"
"463","Tata Steel Long Products","TATASTLLP.NS","37827541395.91","829.35","India"
"464","TCNS Clothing","TCNSBRANDS.NS","36963196928","583.3","India"
"465","CARE's Ratings","CARERATING.NS","36798169088","1230.35","India"
"466","Polyplex","POLYPLEX.NS","36718239744","1169.65","India"
"467","Hinduja Global Solutions","HGS.NS","36657995776","788","India"
"468","Geojit Financial Services","GEOJITFSL.NS","36641693696","137.94","India"
"469","Kalyani Steels","KSL.NS","36421963776","834.35","India"
"470","Tide Water Oil","TIDEWATER.NS","36380807168","2140.4","India"
"471","Mahindra Logistics","MAHLOG.NS","36079190016","500.75","India"
"472","MPS Limited","MPSLTD.NS","35798208512","2092.3","India"
"473","Jindal Poly Films","JINDALPOLY.NS","35797569536","817.55","India"
"474","Hathway","HATHWAY.NS","35561308160","20.09","India"
"475","Alembic Limited","ALEMBICLTD.NS","35533496320","138.38","India"
"476","KSB ltd","KSB.NS","34773729280","997.8","India"
"477","Sandhar","SANDHAR.NS","34787831808","574.45","India"
"478","Kitex Garments","KITEX.NS","34742927360","522.45","India"
"479","Nucleus Software Exports","NUCLEUS.NS","34212360192","1299.6","India"
"480","Capacit'e Infraprojects","CAPACITE.NS","33537026048","396.4","India"
"481","Delta Corp","DELTACORP.NS","33399078912","124.73","India"
"482","Mahanagar Telephone Nigam","MTNL.NS","32123731968","50.94","India"
"483","Indoco Remedies","INDOCO.NS","31283191808","337.3","India"
"484","Repco Home Finance","REPCOHOME.NS","31127422976","497.55","India"
"485","Ashiana Housing","ASHIANA.NS","30986831872","308.25","India"
"486","Dollar Industries","DOLLAR.NS","30941468672","545.55","India"
"487","PTC Financial Services","PFS.NS","30901059584","47.96","India"
"488","KCP Limited","KCP.NS","30663342080","237.45","India"
"489","GTL Infrastructure","GTLINFRA.NS","30358802432","2.36","India"
"490","Prakash Industries","PRAKASH.NS","30322079744","169.26","India"
"491","Huhtamaki India","HUHTAMAKI.NS","30296064000","400.2","India"
"492","Foseco India","FOSECOIND.NS","30081081344","4706","India"
"493","Somany Ceramics","SOMANYCERA.NS","29549336576","720.25","India"
"494","Wendt India","WENDT.NS","29448499200","14724.2","India"
"495","Unitech Group","UNITECH.NS","29301886976","11.18","India"
"496","Vadilal Industries","VADILALIND.NS","29126334464","4048.85","India"
"497","Nilkamal","NILKAMAL.NS","28910923776","1936.25","India"
"498","Hindustan Oil Exploration Company","HINDOILEXP.NS","28822093824","217.78","India"
"499","Automotive Axles","AUTOAXLES.NS","28457852928","1881.2","India"
"500","Rane Holdings","RANEHOLDIN.NS","28408537088","1989.7","India"
"501","Shalby","SHALBY.NS","28274339840","263.5","India"
"502","MM Forgings","MMFL.NS","27617024000","571.25","India"
"503","GE Power India","GEPIL.NS","27223191552","404.05","India"
"504","Parag Milk Foods","PARAGMILK.NS","27092967424","227.29","India"
"505","Confidence Petroleum","CONFIPET.NS","27041093632","81.39","India"
"506","SML Isuzu","SMLISUZU.NS","26743613440","1835.4","India"
"507","Barbeque Nation Hospitality","BARBEQUE.NS","26626582528","681.1","India"
"508","Accelya","ACCELYA.NS","26387460096","1767.85","India"
"509","Dish TV","DISHTV.NS","26237956096","14.25","India"
"510","Sasken Technologies","SASKEN.NS","25860581376","1706.8","India"
"511","Filatex India","FILATEX.NS","25699213312","57.86","India"
"512","Vidhi Specialty Food","VIDHIING.NS","24031102976","480.55","India"
"513","Siyaram Silk Mills","SIYSIL.NS","23900968960","526.8","India"
"514","Omaxe","OMAXE.NS","23770654720","129.26","India"
"515","Mangalam Cement","MANGLMCEM.NS","23712301056","862.3","India"
"516","Apollo Pipes","APOLLOPIPE.NS","23412535296","568.5","India"
"517","Federal-Mogul Goetze","FMGOETZE.NS","23312631808","419.05","India"
"518","Lumax Industries","LUMAXIND.NS","23074912256","2466.9","India"
"519","Nelco","NELCO.NS","22869741568","1002.25","India"
"520","Rupa Company","RUPA.NS","22851393536","287.35","India"
"521","Hyderabad Industries Limited","HIL.NS","21476483072","2848","India"
"522","Sanghi Industries","SANGHIIND.NS","21469474816","83.11","India"
"523","Astec Lifesciences","ASTEC.NS","21439180800","1093.2","India"
"524","Jaypee Group","JPASSOCIAT.NS","21207676928","8.55","India"
"525","Sterling Tools","STERTOOLS.NS","20715845632","574.65","India"
"526","Hindustan Sanitaryware &amp; Industries","HSIL.NS","20527684472.26","316.9439","India"
"527","Sify","SIFY","20522331735.36","284.1566","India"
"528","Excel Industries","EXCELINDUS.NS","20447500288","1626.6","India"
"529","Igarashi Motors India","IGARASHI.NS","20095256576","638.35","India"
"530","Jagran Prakashan","JAGRAN.NS","20076404736","92.24","India"
"531","Hester Biosciences","HESTERBIO.NS","19979636736","2348.65","India"
"532","Cantabil Retail India","CANTABIL.NS","19847006208","237.14","India"
"533","Cosmo First","COSMOFIRST.NS","19844358144","766.15","India"
"534","Navkar Corp","NAVKARCORP.NS","18878093312","125.42","India"
"535","Gallantt Ispat","GALLISPAT.NS","18589018250.25","64.9","India"
"536","Kokuyo Camlin","KOKUYOCMLN.NS","18356500480","182.81","India"
"537","GTPL Hathway","GTPL.NS","18189766656","161.74","India"
"538","Wheels India","WHEELS.NS","18167156736","743.55","India"
"539","Gati","GATI.NS","18086651071.51","137.05","India"
"540","I.g. Petrochemicals","IGPL.NS","18051911680","586.2","India"
"541","Monte Carlo Fashions","MONTECARLO.NS","17417035776","840.1","India"
"542","Southern Petrochemical Industries Corp","SPIC.NS","17295278080","84.54","India"
"543","Oriental Aromatics","OAL.NS","17153726464","509.2","India"
"544","Mangalore Chemicals and Fertilizers","MANGCHEFER.NS","16596839424","140.04","India"
"545","India Motor Parts and Accessories","IMPAL.NS","16069248000","1287.6","India"
"546","India Nippon Electricals","INDNIPPON.NS","15994046464","705.6","India"
"547","INEOS Styrolution","INEOSSTYRO.NS","14698693124.01","807.8","India"
"548","Rico Auto Industries","RICOAUTO.NS","14598603776","107.91","India"
"549","Himatsingka Seide","HIMATSEIDE.NS","14527360000","147.55","India"
"550","Kellton Tech Solutions","KELLTONTEC.NS","14326012928","146.99","India"
"551","Tamil Nadu Newsprint and Papers Limited","TNPL.NS","14276282368","206.07","India"
"552","Dhampur Sugar Mills","DHAMPURSUG.NS","13977180160","213.59","India"
"553","Bliss GVS Pharma","BLISSGVS.NS","13489200128","128.06","India"
"554","Shankara Building","SHANKARA.NS","12530029568","516.1","India"
"555","Indorama Synthetics","INDORAMA.NS","12520470528","47.46","India"
"556","Aptech","APTECHT.NS","12464286720","214.83","India"
"557","Kuantum Papers","KUANTUM.NS","12024032256","137.7","India"
"558","Jay Bharat Maruti","JAYBARMARU.NS","10671094784","98.07","India"
"559","Asian Granito India","ASIANTILES.NS","10623669248","78.95","India"
"560","NACL Industries","NACLIND.NS","10609187840","53.14","India"
"561","Bodal Chemicals","BODALCHEM.NS","10462164992","82.91","India"
"562","Orient Paper Mills","ORIENTPPR.NS","9934547968","46.82","India"
"563","Spencer's Retail","SPENCERS.NS","8998534144","99.79","India"
"564","Rane Brake Lining","RBL.NS","8965876736","1159.9","India"
"565","Nectar Lifesciences","NECLIFE.NS","8805100544","39.09","India"
"566","Yatra","YTRA","8535337226.64","142.919","India"
"567","Apex Frozen Foods","APEX.NS","7656048640","244.23","India"
"568","Coffee Day Enterprises","COFFEEDAY.NS","7634647040","36.14","India"
"569","Reliance Communications","RCOM.NS","7107615744","2.58","India"
"570","Hindustan Media Ventures","HMVL.NS","6917742592","94.1","India"
"571","Ebixcash India","EBIXFOREX.NS","6852342755.02","614.5517","India"
"572","Balaji Telefilms","BALAJITELE.NS","6540640768","63.26","India"
"573","Mirza International","MIRZAINT.NS","5909430272","42.73","India"
"574","N.B.I. Industrial Finance","NBIFIN.NS","5867599360","2388.3","India"
"575","Radio City","RADIOCITY.NS","5437640704","15.73","India"
"576","3i Infotech","3IINFOLTD.NS","5141328896","30.33","India"
"577","Hinduja Ventures","NXTDIGITAL.NS","4047022778.89","117","India"
"578","Zee Learn","ZEELEARN.NS","3628478976","11.1","India"
"579","Azure Power","AZREF","1618340774.4","25.221","India"
"580","Modern Dairies Limited","MODAIRY.BO","1307313664","56.06","India"
"581","Future Retail","FRETAIL.NS","1236407552","2.28","India"
"582","Srei Infrastructure Finance","SREINFRA.NS","1065670647.44","2.1","India"
"583","Jump Networks","JUMPNET.NS","981040068.68","10.0884","India"
"584","MEP Infrastructure","MEP.NS","781480000","4.26","India"
"585","Milkfood Limited","MLKFOOD.BO","670663872","137.25","India"
"586","Future Supply Chain Solutions","FSC.NS","93033224","2.12","India"
