,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
527,Excel Industries,EXCELINDUS.NS,India,1626.6,2044.75,105.25,6.61,6.95,1047,42.2403
528,Igarashi Motors India,IGARASHI.NS,India,638.35,2009.53,91.26,4.39,4.01,648,180.863
529,Jagran Prakashan,JAGRAN.NS,India,92.24,2007.64,230.92,12.96,29.95,4865,7.81066
530,Hester Biosciences,HESTERBIO.NS,India,2348.65,1997.96,35.89,15.11,5.43,584,67.2952
531,Cantabil Retail India,CANTABIL.NS,India,237.14,1984.7,75.95,12.13,9.22,2278,14.4532
532,Cosmo First,COSMOFIRST.NS,India,766.15,1984.44,308.47,7.07,21.82,1148,12.1707
533,Navkar Corp,NAVKARCORP.NS,India,125.42,1887.81,53.66,-3.12,-1.68,495,25.4207
534,Gallantt Ispat,GALLISPAT.NS,India,64.9,1858.9,149.38,0.0,18.67,1516,0.0
535,Kokuyo Camlin,KOKUYOCMLN.NS,India,182.81,1835.65,96.9,7.63,7.4,1095,70.3211
536,GTPL Hathway,GTPL.NS,India,161.74,1818.98,393.95,3.8,15.0,729,18.6691
537,Wheels India,WHEELS.NS,India,743.55,1816.72,592.08,1.93,11.44,2221,30.2641
538,Gati,GATI.NS,India,137.05,1808.67,208.97,0.33,0.7,20,-114.38
539,I.g. Petrochemicals,IGPL.NS,India,586.2,1805.19,255.58,3.95,10.12,461,11.388
540,Monte Carlo Fashions,MONTECARLO.NS,India,840.1,1741.7,125.99,11.21,14.13,1806,13.6774
541,Southern Petrochemical Industries Corp,SPIC.NS,India,84.54,1729.53,254.36,10.77,27.42,617,5.9034
542,Oriental Aromatics,OAL.NS,India,509.2,1715.37,102.27,6.56,6.71,744,315.852
543,Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,India,140.04,1659.68,457.55,6.34,29.05,651,6.24563
544,India Motor Parts and Accessories,IMPAL.NS,India,1287.6,1606.92,89.38,12.73,11.38,854,19.5194
545,India Nippon Electricals,INDNIPPON.NS,India,705.6,1599.4,90.14,11.7,10.55,561,28.9856
546,INEOS Styrolution,INEOSSTYRO.NS,India,807.8,1469.87,298.88,13.63,41.37,479,7.30866
547,Rico Auto Industries,RICOAUTO.NS,India,107.91,1459.86,259.98,5.17,13.45,1558,29.6161
548,Himatsingka Seide,HIMATSEIDE.NS,India,147.55,1452.74,347.54,15.88,55.2,8687,72.6875
549,Kellton Tech Solutions,KELLTONTEC.NS,India,146.99,1432.6,119.55,7.6,9.09,1269,-10.3979
550,Tamil Nadu Newsprint and Papers Limited,TNPL.NS,India,206.07,1427.63,540.05,8.43,45.58,2371,4.24244
551,Dhampur Sugar Mills,DHAMPURSUG.NS,India,213.59,1397.72,226.87,9.01,20.45,1213,8.82699
552,Bliss GVS Pharma,BLISSGVS.NS,India,128.06,1348.92,94.85,16.56,15.73,763,21.7583
553,Shankara Building,SHANKARA.NS,India,516.1,1253.0,597.47,2.13,12.78,664,16.8745
554,Indorama Synthetics,INDORAMA.NS,India,47.46,1252.05,486.05,-4.13,-20.1,1501,-10.2788
555,Aptech,APTECHT.NS,India,214.83,1246.43,50.27,9.0,4.53,458,16.7109
556,Kuantum Papers,KUANTUM.NS,India,137.7,1202.4,140.8,18.01,25.37,1304,4.89034
557,Jay Bharat Maruti,JAYBARMARU.NS,India,98.07,1067.11,275.21,2.09,5.76,5896,32.0886
558,Asian Granito India,ASIANTILES.NS,India,78.95,1062.37,184.01,0.75,1.39,1440,-13.0103
559,NACL Industries,NACLIND.NS,India,53.14,1060.92,207.47,-3.06,-6.35,1254,12.2358
560,Bodal Chemicals,BODALCHEM.NS,India,82.91,1046.22,178.16,0.0,0.01,2025,58.9259
561,Orient Paper Mills,ORIENTPPR.NS,India,46.82,993.45,97.23,-1.76,-1.72,1394,7.52449
562,Spencer's Retail,SPENCERS.NS,India,99.79,899.85,278.93,-3.81,-10.63,4505,-3.64781
563,Rane Brake Lining,RBL.NS,India,1159.9,896.59,80.07,8.87,7.11,597,26.6782
564,Nectar Lifesciences,NECLIFE.NS,India,39.09,880.51,197.95,6.79,13.46,1669,-32.5167
565,Yatra,YTRA,India,142.919,853.53,49.64,-7.65,-3.8,1095,-28.3438
566,Apex Frozen Foods,APEX.NS,India,244.23,765.6,91.57,2.55,2.34,2713,35.4826
567,Coffee Day Enterprises,COFFEEDAY.NS,India,36.14,763.46,123.18,-35.3,-43.45,2376,-2.19716
568,Reliance Communications,RCOM.NS,India,2.58,710.76,45.74,-10.76,-4.92,464,-0.0528459
569,Hindustan Media Ventures,HMVL.NS,India,94.1,691.77,83.76,-2.47,-2.08,1146,-63.0379
570,Ebixcash India,EBIXFOREX.NS,India,614.5517,685.23,174.51,0.0,8.37,474,0.0
571,Balaji Telefilms,BALAJITELE.NS,India,63.26,654.06,74.7,4.37,3.27,87,-244.738
572,Mirza International,MIRZAINT.NS,India,42.73,590.94,73.72,4.27,3.15,2409,20.5474
573,N.B.I. Industrial Finance,NBIFIN.NS,India,2388.3,586.76,1.55,83.54,1.29,5,85.662
574,Radio City,RADIOCITY.NS,India,15.73,543.76,28.38,6.81,1.93,415,150.103
575,3i Infotech,3IINFOLTD.NS,India,30.33,514.13,95.96,-33.29,-31.96,5000,379.54
576,Hinduja Ventures,NXTDIGITAL.NS,India,117.0,404.7,60.11,-11.0,-10.95,837,-2.80953
577,Zee Learn,ZEELEARN.NS,India,11.1,362.85,39.73,52.4,20.79,193,-0.814644
578,Azure Power,AZREF,India,25.221,161.83,245.37,-4.21,-10.33,427,-0.353255
579,Modern Dairies Limited,MODAIRY.BO,India,56.06,130.73,40.92,10.13,4.13,0,11.0519
580,Future Retail,FRETAIL.NS,India,2.28,123.64,1141.29,-34.42,-393.0,21839,-0.0246879
581,Srei Infrastructure Finance,SREINFRA.NS,India,2.1,106.57,105.29,-764.93,-804.83,20,-0.0109699
582,Jump Networks,JUMPNET.NS,India,10.0884,98.1,19.49,0.0,-1.51,3,0.0
583,MEP Infrastructure,MEP.NS,India,4.26,78.15,5.93,-612.55,-36.37,111,-0.378068
584,Milkfood Limited,MLKFOOD.BO,India,137.25,67.07,50.09,5.8,2.91,0,6.42031
585,Future Supply Chain Solutions,FSC.NS,India,2.12,9.3,72.65,-112.32,-80.9,0,-0.0122577
